date,type,price,shares,cost,capital_after,proceeds,pnl
2024-10-31,BUY,562.0907193603515,169.01186361537543,95.0,4905.0,,
2024-11-12,SELL,589.4355425109864,169.01186361537543,99.62159952092165,104426.97792140073,99621.59952092165,4426.977921400737
2024-11-14,BUY,586.5160729064941,169.1439222350973,99.2056290253307,5122.14326704471,,
2024-11-19,SELL,582.9179899291993,169.1439222350973,98.59703515802371,103620.58138991041,98597.03515802372,-806.3965314903301
2024-12-18,BUY,579.527533996582,169.86173485416396,98.43955232041489,5082.5895171751035,,
2024-12-30,SELL,582.8189794006348,169.86173485416396,98.99864294692507,103982.23382115325,98998.64294692507,361.6524312428444
2024-12-31,BUY,581.2796303100586,169.9407943770608,98.78312213009558,5100.328568927565,,
2025-01-27,SELL,593.8666754455567,169.9407943770608,100.92217457928204,105921.58097363032,100922.17457928204,1939.3471524770887
2025-01-29,BUY,596.8808718566894,168.5855698674641,100.6255019249488,5195.453546756573,,
2025-01-31,SELL,596.2941110229492,168.5855698674641,100.5265825154168,105621.50947965795,100526.5825154168,-300.0714939723632
2025-02-06,BUY,601.3538713989258,166.85755056711238,100.34043400567505,5180.735039977226,,
2025-03-18,SELL,555.8687771606445,166.85755056711238,92.75090259376117,97838.88673114464,92750.90259376117,-7782.622748513322
2025-03-24,BUY,571.0907615661621,162.75336365044544,92.9469423945874,4798.997394162652,,
2025-04-09,SELL,545.2178552856445,162.75336365044544,88.73603987002043,93446.30122431307,88736.03987002044,-4392.585506831575
2025-04-15,BUY,534.810606628418,165.99144643512435,88.7739861630974,4583.5410750525625,,
2025-05-08,SELL,561.5558735961914,165.99144643512435,93.21347171237167,97703.79931571186,93213.47171237167,4257.498091398796
2025-05-21,BUY,579.8250459594726,160.08037251363217,92.81860934992626,4792.371356435673,,
2025-05-29,SELL,586.3909230041504,160.08037251363217,93.869677393117,98568.17907215956,93869.677393117,864.3797564476837
2025-06-20,BUY,592.9332813720703,157.92631828975018,93.63977011855158,4834.769183489436,,
2025-06-23,SELL,598.1914772949219,157.92631828975018,94.4701776414937,99210.47664734165,94470.1776414937,642.2975751820919
2025-06-25,BUY,605.7441880187988,155.59365600062446,94.24995281497458,4866.2738795521,,
2025-06-26,SELL,609.8732555541992,155.59365600062446,94.892409528681,99663.79099870443,94892.409528681,453.3143513627798
2025-07-07,BUY,619.2734712524414,152.88980691726337,94.68060144876922,4888.508948486444,,
2025-07-09,SELL,622.0234274291993,152.88980691726337,95.10104171766466,99894.44962443344,95101.04171766466,230.65862572901807
2025-07-11,BUY,622.2067608947754,152.5212085557212,94.89972714321179,4899.822754078443,,
2025-07-17,SELL,625.9904370727539,152.5212085557212,95.47681800666057,100281.16394273234,95476.81800666056,386.71431829891225
2025-07-29,BUY,633.8204139404296,150.30614926604355,95.26710574559573,4918.791091391016,,
2025-08-01,SELL,619.6910370788574,150.30614926604355,93.14337351800407,97969.02123587708,93143.37351800407,-2312.142706855246
2025-08-06,BUY,631.346032836914,147.41610041624307,93.0705701740832,4805.380491619799,,
2025-08-13,SELL,642.7855021362305,147.41610041624307,94.75693212901979,99467.55568851056,94756.93212901978,1498.5344526334761
2025-08-19,BUY,638.3600971984863,148.02644826765197,94.49417790408502,4878.883606521456,,
2025-08-22,SELL,643.204115966797,148.02644826765197,95.2112207976999,99994.89318342364,95211.22079769989,527.3374949130884
2025-08-25,BUY,641.0140113830566,148.1951202896333,94.99514852425246,4904.749510646943,,
2025-09-02,SELL,638.180566986084,148.1951202896333,94.5752458910091,99385.42015576504,94575.24589100911,-609.4730276586029
2025-09-05,BUY,645.7732257385254,146.20635446754497,94.41614914797678,4874.854858640276,,
2025-09-16,SELL,657.846144317627,146.20635446754497,96.18128656121073,100959.96013328979,96181.28656121073,1574.539977524752
2025-10-10,BUY,653.3465295410156,146.8010585347483,95.9119621266253,4952.086044537864,,
2025-10-30,SELL,679.4901020812989,146.8010585347483,99.74986624941886,104602.2024277073,99749.86624941886,3642.242294417529
2025-11-04,BUY,675.5776102294922,147.09204509096367,99.37209230632195,5130.738029079046,,
2025-11-06,SELL,669.9748425598145,147.09204509096367,98.54796975161952,103580.15981094695,98547.96975161952,-1022.0426167603573
2025-11-17,BUY,666.0028179016113,147.748852070077,98.40115182039958,5080.606838726962,,
2025-11-24,SELL,668.3956154785157,147.748852070077,98.75468491562329,103736.53706943462,98754.68491562328,156.37725848766397
2025-11-26,BUY,680.0198326721192,144.92181768980842,98.54971021596289,5088.277143255778,,
2025-12-11,SELL,688.8253979187012,144.92181768980842,99.82582873728377,104814.28005180226,99825.82873728377,1077.7429823676362
