date,type,price,shares,cost,position_pct,confidence,volatility,proceeds,pnl,pnl_pct,holding_days,exit_reason
2024-09-17,BUY,554.8828325500488,132.99486628379825,73.79656811816895,0.7379656811816894,0.7411518357002829,0.13558286024808275,,,,,
2024-09-19,SELL,562.1154691467285,132.99486628379825,74.75847165522369,,,,74758.47165522368,813.3484972813368,1.3034529404056472,2.0,signal
2024-10-01,BUY,562.0709340820313,158.1654423871774,88.9001979420585,0.8818296313652938,0.7616416010166069,0.11660031879179229,,,,,
2024-10-16,SELL,575.0180722351074,158.1654423871774,90.9479877756877,,,,90947.9877756877,1867.941647911444,2.3034704995413575,15.0,signal
2024-11-01,BUY,564.4629986572265,154.97543331766943,87.47789780869473,0.8519360994101238,0.7021073691317099,0.11125775148911887,,,,,
2024-11-12,SELL,589.4354815063477,154.97543331766943,91.34801915925536,,,,91348.01915925536,3691.295433592677,4.424113344634994,11.0,signal
2024-12-19,BUY,579.3495886230469,137.13554623969483,79.44942229956403,0.746897538188722,0.7028993774891359,0.12704743436583227,,,,,
2024-12-30,SELL,582.8190404052734,137.13554623969483,79.92520746487195,,,,79925.20746487194,316.41053554348366,0.5988528947560775,11.0,trailing_stop
2025-02-07,BUY,595.8493504943847,127.47428260011476,75.95546849201602,0.711933481974293,0.7085089681339751,0.1343506284222497,,,,,
2025-03-04,SELL,571.5633185424805,127.47428260011476,72.85962399174358,,,,72859.62399174357,-3244.659592756211,-4.075867823259978,25.0,stop_loss
2025-03-06,BUY,568.0191581726074,99.30446067330968,56.40683615443815,0.5452868475083198,0.6364631616099077,0.15757307774790325,,,,,
2025-03-13,SELL,546.3569338989258,99.30446067330968,54.255680655955935,,,,54255.68065595593,-2261.8180152926175,-3.813643248120676,7.0,stop_loss
2025-03-26,BUY,565.6293530273438,58.93365875442741,33.33460727280104,0.3294502624060701,0.5266595442252,0.21581114536423573,,,,,
2025-04-03,SELL,533.3717915344239,58.93365875442741,31.433551151527332,,,,31433.551151527332,-1965.8242796980264,-5.702950407412905,8.0,stop_loss
2025-04-07,BUY,501.75368115234374,67.61202665812677,33.9245832658855,0.3419241442212498,0.7909309764577122,0.3122788595844215,,,,,
2025-04-09,SELL,545.2178552856445,67.61202665812677,36.8632841660597,,,,36863.2841660597,2867.9130327422517,8.662452467409818,2.0,take_profit
2025-05-22,BUY,580.0538590393066,94.71654461867845,54.94069722093312,0.5381878688269612,0.6188803536228233,0.15524104607037112,,,,,
2025-05-28,SELL,584.085252685547,94.71654461867845,55.32253689710269,,,,55322.536897102684,271.57644205154077,0.6950033317452889,6.0,signal
2025-07-15,BUY,620.7301318359374,136.52141985892175,84.74295894745785,0.8279222210423106,0.6132757192906004,0.09033505077689385,,,,,
2025-07-16,SELL,622.1828935546876,136.52141985892175,84.94129204001833,,,,84941.29204001832,28.648841572980373,0.23404079232520852,1.0,signal
2025-09-05,BUY,645.7732257385254,126.77580267081117,81.8684190363205,0.7996147183419766,0.5923071987718345,0.09691210108717367,,,,,
2025-09-11,SELL,655.4839226989747,126.77580267081117,83.09950043797446,,,,83099.50043797445,1066.1134821796638,1.5037317394730634,6.0,signal
2025-10-10,BUY,653.3465295410156,117.15550985030514,76.54314577730513,0.7398979779142144,0.6405564823724406,0.11687439039102986,,,,,
2025-10-27,SELL,684.8973702392578,117.15550985030514,80.23950060551346,,,,80239.50060551346,3539.5721818255115,4.82911277119772,17.0,signal
2025-11-18,BUY,660.4100570983886,118.94714011848716,78.55388759734014,0.734213544469349,0.7272040127033821,0.13371115590888552,,,,,
2025-11-21,SELL,658.7005142822265,118.94714011848716,78.35054236844755,,,,78350.54236844755,-360.2496588583706,-0.2588608089454611,3.0,signal
2025-12-02,BUY,681.8707943115234,88.51632942291177,60.356699853141315,0.5660372113375799,0.6302402466872341,0.15031243811996337,,,,,
