feature,importance
dist_from_52w_low,1.0102043
momentum_sharpe_63,0.32252976
momentum_12_1,0.31137398
momentum_126d,0.2933324
vol_ratio,0.27248356
momentum_accel_63d,0.26110202
atr,0.25955173
macd_histogram,0.25378957
vol_percentile,0.24866913
atr_percent,0.24761121
atr_ratio,0.2459258
stoch_d,0.23130065
rsi_14_accel,0.22739014
adx,0.20570341
obv_slope,0.19638951
macd,0.18917231
momentum_63d,0.1704452
volume_ratio,0.1702412
volatility_60d,0.16960384
alpha_score,0.16876855
returns_10d,0.16756399
high_low_range,0.16108377
macd_hist_accel,0.1607404
rsi_of_rsi,0.15685624
momentum_accel_21d,0.14924432
bb_width,0.14901914
macd_hist_slope,0.14475243
macd_normalized,0.14339936
momentum_sharpe_252,0.13914347
adx_pos,0.13903302
bb_squeeze,0.12887654
macd_fast,0.12653254
realized_vol_21d,0.120743446
rsi_14_slope_5,0.11919662
rsi_5,0.11765424
price_vs_sma_50,0.117099494
close_position,0.11493155
volatility_20d,0.109034255
rsi_7,0.108164825
rsi_14_slope_3,0.10686457
adx_diff,0.103929766
realized_vol_5d,0.09878966
stoch_k,0.09596645
returns_21d,0.09517131
macd_signal_normalized,0.09080432
price_vs_sma_10,0.090283655
bb_position,0.0881968
trend_score,0.0832501
mfi,0.08272377
dist_from_52w_high,0.08147518
returns,0.07994606
cci,0.079857714
returns_5d,0.07944394
adx_neg,0.070646025
price_vs_sma_200,0.067615904
price_vs_sma_100,0.067109734
rsi_28,0.06424134
rsi_14_ema_5,0.060187493
ll_count_5,0.057910454
vol_price_div,0.057781562
gap_size,0.056800745
momentum_252d,0.05240644
macd_signal,0.051013574
price_vs_sma_20,0.044930793
rsi_14_ema_10,0.043431506
momentum_quality,0.039116304
trend_following_regime,0.032610875
hh_count_5,0.03071188
range_52w_position,0.029994776
stoch_cross_up,0.029134193
log_returns,0.028038811
macd_fast_signal,0.026130155
williams_r,0.025689274
rsi_21,0.025610773
normal_vol_regime,0.024719505
rsi_14,0.02286735
lower_low,0.017476918
higher_high,0.016057199
mean_reversion_score,0.01591362
momentum_5d,0.015360268
inside_bar,0.014683234
momentum_10d,0.014577082
roc_21,0.014429149
rsi_dist_30,0.014228618
roc_10,0.010748866
extreme_vol_regime,0.010137778
trend_up,0.009841468
momentum_21d,0.008411365
squeeze_on,0.008355103
neutral_regime,0.004470613
rsi_overbought_75,0.0
rsi_oversold_20,0.0
rsi_overbought_70,0.0
rsi_oversold_25,0.0
rsi_oversold_30,0.0
rsi_cross_up_50,0.0
rsi_cross_down_50,0.0
rsi_bearish_div,0.0
rsi_bullish_div,0.0
roc_5,0.0
macd_above_zero,0.0
macd_cross_up,0.0
macd_cross_down,0.0
macd_hist_positive,0.0
macd_hist_increasing,0.0
macd_above_signal,0.0
rsi_overbought_80,0.0
rsi_dist_50,0.0
rsi_dist_70,0.0
rsi_cross_up_30,0.0
rsi_cross_down_70,0.0
high_vol_regime,0.0
death_cross,0.0
low_vol_regime,0.0
true_squeeze,0.0
cci_overbought,0.0
cci_oversold,0.0
strong_trend,0.0
weak_trend,0.0
golden_cross,0.0
bear_regime,0.0
mfi_oversold,0.0
mfi_overbought,0.0
mean_reversion_regime,0.0
regime_score,0.0
bull_regime,0.0
outside_bar,0.0
gap_up,0.0
gap_down,0.0
new_52w_high,0.0
new_52w_low,0.0
