entry_date,exit_date,entry_price,exit_price,shares,position_pct,confidence,regime,pnl,pnl_pct,holding_days,exit_reason,stop_loss,take_profit
2024-07-26,2024-08-02,536.52,524.63,29.44,15.8,0.937,bull,-365.65,-2.32,7,trailing_stop,519.06,573.52
2024-08-07,2024-08-09,511.12,524.72,21.07,10.8,0.877,neutral,275.45,2.56,2,signal,489.55,553.5
2024-08-14,2024-08-23,535.84,553.4,19.45,10.4,0.864,bull,330.71,3.17,9,signal,511.9,586.87
2024-09-06,2024-10-14,532.5,577.01,30.0,16.0,0.957,bull,1318.0,8.25,38,signal,510.45,579.45
2024-10-15,2024-10-18,573.1,577.28,28.04,15.8,0.941,bull,100.94,0.63,3,signal,556.81,607.5
2024-10-21,2024-10-31,576.91,561.53,25.37,14.4,0.811,bull,-404.43,-2.76,10,stop_loss,562.65,606.88
2024-11-01,2024-11-08,564.46,590.71,28.82,16.1,0.963,bull,739.35,4.55,7,signal,548.26,598.67
2024-11-11,2024-11-13,591.86,589.72,21.2,12.3,0.62,bull,-57.9,-0.46,2,signal,576.81,623.54
2024-11-14,2024-11-15,586.52,578.42,27.22,15.7,0.927,bull,-236.01,-1.48,1,signal,570.38,620.56
2024-12-09,2024-12-11,597.72,599.86,26.5,15.6,0.919,bull,41.03,0.26,2,signal,585.0,624.33
2024-12-18,2024-12-30,579.53,582.82,43.44,24.8,0.677,bull,117.66,0.47,12,trailing_stop,565.34,609.35
2025-01-02,2025-01-07,579.85,583.23,52.13,29.8,0.945,neutral,145.46,0.48,5,signal,563.09,612.51
2025-01-10,2025-01-27,575.74,593.87,42.78,24.2,0.725,neutral,750.22,3.05,17,signal,559.13,608.07
2025-01-30,2025-01-31,600.08,596.29,54.4,31.9,0.695,bull,-238.62,-0.73,1,signal,581.79,638.77
2025-02-04,2025-02-21,596.85,594.43,50.38,29.4,0.744,bull,-151.85,-0.51,17,trailing_stop,577.55,637.72
2025-02-24,2025-03-04,592.32,571.56,42.68,24.8,0.66,bull,-910.13,-3.6,8,stop_loss,576.14,626.43
2025-03-06,2025-03-13,568.02,546.36,33.36,18.8,0.919,neutral,-740.81,-3.91,7,stop_loss,546.9,609.4
2025-03-14,2025-03-19,558.2,561.92,17.97,10.0,0.732,neutral,56.78,0.57,5,signal,535.8,602.16
2025-03-20,2025-03-24,560.86,570.52,17.89,10.0,0.726,neutral,162.63,1.62,4,signal,539.53,602.68
2025-03-26,2025-04-03,565.63,533.37,19.67,11.1,0.933,neutral,-645.03,-5.8,8,stop_loss,544.05,607.95
2025-04-07,2025-04-09,501.75,545.22,19.9,10.0,0.885,neutral,853.88,8.55,2,signal,468.2,568.12
2025-04-16,2025-04-23,522.92,532.1,19.25,10.0,0.694,bear,166.42,1.65,7,signal,491.18,585.63
2025-05-01,2025-05-02,555.56,563.25,18.15,10.0,0.921,bear,129.22,1.28,1,signal,527.8,610.25
2025-05-05,2025-05-12,560.58,579.37,18.01,10.0,0.752,neutral,328.08,3.25,7,signal,530.15,620.58
2025-05-20,2025-05-28,589.76,584.09,32.03,18.7,0.795,neutral,-200.58,-1.06,8,signal,567.16,634.09
2025-06-27,2025-06-30,613.52,615.83,27.59,16.8,0.656,bull,46.94,0.28,3,signal,596.19,650.09
2025-07-01,2025-07-03,616.25,623.3,35.33,21.5,0.937,bull,227.01,1.04,2,signal,598.25,654.29
2025-07-11,2025-07-23,622.21,632.14,35.46,21.8,0.877,bull,329.79,1.49,12,signal,606.5,655.25
2025-07-28,2025-07-31,635.5,630.02,27.46,17.2,0.522,bull,-167.79,-0.96,3,signal,624.09,659.2
2025-08-06,2025-08-12,631.35,640.59,28.64,17.8,0.652,bull,246.44,1.36,6,signal,616.32,662.9
2025-08-14,2025-08-22,643.49,643.2,34.72,22.0,0.842,bull,-32.2,-0.14,8,signal,628.13,675.76
2025-08-25,2025-08-28,641.01,646.8,28.49,18.0,0.642,bull,146.46,0.8,3,signal,626.94,670.49
2025-08-29,2025-09-05,643.59,645.13,36.61,23.2,0.915,bull,32.75,0.14,7,signal,628.93,674.33
2025-09-16,2025-09-17,658.5,657.03,26.65,17.3,0.531,bull,-56.83,-0.32,1,signal,646.55,683.36
2025-10-10,2025-10-27,653.35,684.9,28.47,18.3,0.644,bull,878.78,4.72,17,signal,637.89,685.81
2025-11-17,2025-11-21,666.0,658.7,38.06,24.7,0.874,bull,-302.97,-1.2,4,signal,643.18,714.39
